229,2004,8.7,309718
230,1994,9.5,87393
231,2008,8.6,408542
232,2019,8.7,869652
233,2009,9.1,144692
234,1990,8.5,437761
235,2006,8.6,340106
236,2002,8.6,371341
237,2007,8.9,181684
238,2006,8.5,486948
239,2013,8.6,372550
240,2016,8.5,470637
241,2011,9.1,144554
242,2016,8.4,734051
243,2008,8.6,411491
244,2015,8.5,612706
245,2015,8.8,244652
246,2015,8.4,434488
247,2016,8.3,808109
248,2008,8.7,239941
249,1996,8.6,376358
250,2001,8.8,208107
